TotalCores,MatrixSize,Time,Speedup,Eficiencia
1,100,248.06666666666666,1.0,1.0
1,200,1764.4333333333334,1.0,1.0
1,300,5885.233333333334,1.0,1.0
1,400,13698.166666666666,1.0,1.0
1,500,26739.433333333334,1.0,1.0
1,600,45661.03333333333,1.0,1.0
1,700,72668.6,1.0,1.0
1,800,104746.9,1.0,1.0
1,900,155807.8,1.0,1.0
1,1000,216105.66666666666,1.0,1.0
2,100,116.2,2.1348250143430865,1.0674125071715432
2,200,1001.9333333333334,1.7610286778894138,0.8805143389447069
2,300,3254.8166666666666,1.8081612379601515,0.9040806189800757
2,400,7303.85,1.8754720683840256,0.9377360341920128
2,500,13934.25,1.9189718379771668,0.9594859189885834
2,600,24077.333333333336,1.8964323291615903,0.9482161645807952
2,700,37835.98333333334,1.9206214190283588,0.9603107095141794
2,800,54085.26666666666,1.9366993352471837,0.9683496676235919
2,900,80565.8,1.9339198518478062,0.9669599259239031
2,1000,111658.51666666666,1.935415883338351,0.9677079416691755
3,100,81.92222222222223,3.0280754102807537,1.0093584700935845
3,200,662.7777777777778,2.662179379715004,0.887393126571668
3,300,2157.6222222222223,2.7276477191970585,0.9092159063990195
3,400,4962.566666666667,2.760298770125674,0.9200995900418913
3,500,9338.41111111111,2.8633814698431928,0.9544604899477309
3,600,16194.155555555555,2.8195995263037283,0.9398665087679094
3,700,25401.77777777778,2.8607682751863384,0.9535894250621127
3,800,36934.14444444444,2.8360451169393692,0.9453483723131231
3,900,54257.544444444444,2.8716338270622477,0.9572112756874159
3,1000,74803.07777777778,2.888994317969982,0.962998105989994
4,100,75.75,3.2748074807480747,0.8187018701870187
4,200,483.8,3.6470304533553812,0.9117576133388453
4,300,1620.7416666666668,3.6311976512810493,0.9077994128202623
4,400,3631.675,3.7718591742561394,0.9429647935640348
4,500,7129.758333333333,3.7503982720311932,0.9375995680077983
4,600,11983.425,3.8103491558826743,0.9525872889706686
