TotalCores,MatrixSize,Time,Speedup,Eficiencia
1,100,1068.6,1.0,1.0
1,200,5764.7,1.0,1.0
1,300,16628.966666666667,1.0,1.0
1,400,30305.966666666667,1.0,1.0
1,500,54343.46666666667,1.0,1.0
1,600,112403.76666666666,1.0,1.0
1,700,151939.13333333333,1.0,1.0
1,800,207722.26666666666,1.0,1.0
1,900,291107.7,1.0,1.0
1,1000,391564.4666666667,1.0,1.0
2,100,568.7833333333333,1.8787470331409148,0.9393735165704574
2,200,3813.4666666666667,1.5116691724065592,0.7558345862032796
2,300,10762.6,1.5450696547922125,0.7725348273961062
2,400,20225.233333333334,1.4984235863780724,0.7492117931890362
2,500,33499.566666666666,1.622214018688799,0.8111070093443995
2,600,59513.41666666667,1.8887130492984072,0.9443565246492036
2,700,83980.23333333334,1.8092249485692466,0.9046124742846233
2,800,127136.73333333334,1.6338493307205733,0.8169246653602866
2,900,163071.65,1.7851521095175036,0.8925760547587518
2,1000,211152.7,1.854413733126153,0.9272068665630765
3,100,377.62222222222226,2.829812275642911,0.9432707585476371
3,200,2696.2333333333336,2.1380567952823073,0.7126855984274357
3,300,7383.066666666667,2.252311595904141,0.750770531968047
3,400,15552.044444444444,1.948680559326248,0.6495601864420827
3,500,25841.588888888888,2.102946026280634,0.7009820087602113
3,600,41462.27777777778,2.7109887032523536,0.9036629010841178
3,700,64021.77777777778,2.3732413970246236,0.7910804656748746
3,800,91479.4888888889,2.270697718031267,0.7568992393437557
3,900,123046.65555555555,2.365831876418331,0.7886106254727769
3,1000,157401.17777777778,2.4876844773009608,0.8292281591003202
4,100,290.2583333333333,3.681548046280612,0.920387011570153
4,200,2041.4416666666666,2.823837729055855,0.7059594322639637
4,300,5882.416666666666,2.82689370865149,0.7067234271628725
4,400,12863.233333333332,2.356014687857123,0.5890036719642807
4,500,20458.291666666668,2.656305206324249,0.6640763015810622
4,600,31511.691666666666,3.5670495845060683,0.8917623961265171
4,700,49896.875,3.045063109329659,0.7612657773324147
4,800,71033.475,2.9242869881653215,0.7310717470413304
4,900,96695.69166666667,3.0105550204193,0.752638755104825
4,1000,130681.475,2.996327265717399,0.7490818164293498
5,100,240.18,4.449163127654259,0.8898326255308519
5,200,1658.4,3.476061263868789,0.6952122527737579
5,300,4918.62,3.3808195523676696,0.676163910473534
5,400,10969.3,2.7627985985128194,0.5525597197025639
5,500,17108.41333333333,3.1764176845544227,0.6352835369108846
5,600,26002.0,4.322889264928339,0.8645778529856678
5,700,40556.52,3.7463552921536007,0.7492710584307202
5,800,58039.92666666666,3.5789546713187903,0.7157909342637581
5,900,80340.31333333332,3.623432470224372,0.7246864940448744
5,1000,107904.9,3.6287922667707093,0.7257584533541419
6,100,212.26111111111115,5.034365430418508,0.8390609050697514
6,200,1436.3833333333334,4.013343698873327,0.6688906164788878
6,300,4672.88888888889,3.5586051930758984,0.5931008655126497
6,400,9662.08888888889,3.1365853714632674,0.5227642285772113
6,500,16159.327777777777,3.362978176691206,0.5604963627818677
6,600,23403.11111111111,4.802941204398276,0.800490200733046
6,700,35407.927777777775,4.291104926752907,0.7151841544588179
6,800,48015.99444444445,4.326105687699665,0.7210176146166108
6,900,68863.55555555556,4.227311495195007,0.7045519158658345
6,1000,90697.08888888889,4.317277119515535,0.7195461865859225
7,100,185.76666666666668,5.752377534541539,0.8217682192202199
7,200,1344.8190476190478,4.286599011373454,0.6123712873390649
7,300,4084.1952380952384,4.071540584436405,0.5816486549194864
7,400,8687.790476190477,3.4883399582117427,0.49833427974453465
7,500,14955.128571428573,3.633767935000479,0.5191097050000685
7,600,21901.690476190477,5.132195927472439,0.7331708467817769
7,700,33515.219047619044,4.533436977316347,0.6476338539023353
7,800,46146.047619047626,4.501409706449605,0.6430585294928007
7,900,58785.75238095238,4.952011128708868,0.7074301612441241
7,1000,78449.0476190476,4.991322119907979,0.7130460171297113
8,100,177.49583333333334,6.020423014624756,0.7525528768280945
8,200,1129.6125000000002,5.103254434595933,0.6379068043244916
8,300,3359.0125,4.950552183615473,0.6188190229519341
8,400,8551.625,3.54388395967628,0.442985494959535
8,500,12714.416666666668,4.274161221185924,0.5342701526482405
8,600,18594.170833333337,6.045107774591543,0.7556384718239428
8,700,28693.15416666667,5.295309551915475,0.6619136939894343
8,800,37552.07916666666,5.531578311409522,0.6914472889261902
8,900,52696.60833333334,5.5242208029517395,0.6905276003689674
8,1000,70315.2,5.568703021063251,0.6960878776329064
9,100,153.38518518518518,6.966774520693485,0.7740860578548316
9,200,1025.1222222222223,5.6234270168326805,0.6248252240925201
9,300,3005.911111111111,5.532088625375187,0.6146765139305763
9,400,6764.322222222222,4.48026656197796,0.49780739577532884
9,500,11598.788888888888,4.685270780186821,0.5205856422429801
9,600,17663.796296296296,6.363511262312011,0.7070568069235568
9,700,25822.159259259257,5.884059958264385,0.6537844398071538
9,800,35494.80740740741,5.852187456109907,0.6502430506788786
9,900,46266.507407407415,6.29197482828351,0.6991083142537233
9,1000,64088.700000000004,6.109727091775409,0.6788585657528232
10,100,150.91,7.081041680471804,0.7081041680471805
10,200,931.4766666666668,6.188775528461975,0.6188775528461975
10,300,2633.793333333334,6.313694569809323,0.6313694569809323
10,400,5032.836666666667,6.021647169157751,0.6021647169157751
10,500,10374.539999999999,5.238156743977726,0.5238156743977725
10,600,16806.586666666662,6.688078245513268,0.6688078245513268
10,700,25564.503333333338,5.943363395416378,0.5943363395416378
10,800,33870.15333333333,6.132900097096304,0.6132900097096303
