TotalCores,MatrixSize,SingleCore,Time
7,800,4,46146.73333333333
7,800,5,46147.5
7,800,6,46141.566666666666
7,900,0,58800.96666666667
7,900,1,58787.53333333333
7,900,2,58784.46666666667
7,900,3,58785.26666666667
7,900,4,58787.76666666667
7,900,5,58773.433333333334
7,900,6,58780.833333333336
7,1000,0,78461.7
7,1000,1,78457.53333333334
7,1000,2,78443.83333333333
7,1000,3,78451.06666666667
7,1000,4,78447.03333333334
7,1000,5,78439.2
7,1000,6,78442.96666666666
8,100,0,179.06666666666666
8,100,1,177.36666666666667
8,100,2,177.4
8,100,3,178.13333333333333
8,100,4,177.13333333333333
8,100,5,176.8
8,100,6,177.13333333333333
8,100,7,176.93333333333334
8,200,0,1130.9333333333334
8,200,1,1129.5
8,200,2,1129.1666666666667
8,200,3,1129.4666666666667
8,200,4,1129.4666666666667
8,200,5,1129.3333333333333
8,200,6,1129.4666666666667
8,200,7,1129.5666666666666
8,300,0,3360.866666666667
8,300,1,3359.733333333333
8,300,2,3358.366666666667
8,300,3,3359.7
8,300,4,3357.3333333333335
8,300,5,3357.5666666666666
8,300,6,3358.766666666667
8,300,7,3359.766666666667
8,400,0,8551.433333333332
8,400,1,8547.2
8,400,2,8553.333333333334
8,400,3,8552.5
8,400,4,8547.4
8,400,5,8556.033333333333
8,400,6,8549.733333333334
8,400,7,8555.366666666667
8,500,0,12711.066666666668
8,500,1,12709.133333333333
8,500,2,12717.133333333333
8,500,3,12719.266666666666
8,500,4,12716.566666666668
8,500,5,12715.466666666667
8,500,6,12715.666666666666
8,500,7,12711.033333333333
8,600,0,18598.233333333334
8,600,1,18590.933333333334
8,600,2,18592.866666666665
8,600,3,18591.4
8,600,4,18595.666666666668
8,600,5,18594.033333333333
8,600,6,18592.566666666666
8,600,7,18597.666666666668
8,700,0,28713.8
8,700,1,28691.233333333334
8,700,2,28687.966666666667
8,700,3,28693.566666666666
8,700,4,28687.4
8,700,5,28685.866666666665
8,700,6,28695.2
8,700,7,28690.2
8,800,0,37574.9
8,800,1,37550.13333333333
8,800,2,37547.7
8,800,3,37548.0
8,800,4,37550.13333333333
8,800,5,37547.63333333333
8,800,6,37550.066666666666
8,800,7,37548.066666666666
8,900,0,52716.46666666667
8,900,1,52693.76666666667
8,900,2,52694.63333333333
8,900,3,52693.566666666666
