TotalCores,MatrixSize,Time,Speedup,Eficiencia
1,100,2136.233333333333,1.0,1.0
1,200,13985.2,1.0,1.0
1,300,34348.666666666664,1.0,1.0
1,400,83722.63333333333,1.0,1.0
1,500,154269.63333333333,1.0,1.0
1,600,276587.9,1.0,1.0
1,700,423108.13333333336,1.0,1.0
1,800,747123.0,1.0,1.0
1,900,886221.2666666667,1.0,1.0
1,1000,1227111.4666666666,1.0,1.0
2,100,1101.5666666666666,1.939268314824341,0.9696341574121705
2,200,8521.883333333333,1.641092637973218,0.820546318986609
2,300,22723.433333333334,1.511596692401236,0.755798346200618
2,400,55316.816666666666,1.5135114125933373,0.7567557062966687
2,500,88703.03333333333,1.7391697615752337,0.8695848807876169
2,600,151636.88333333333,1.824014671892162,0.912007335946081
2,700,225846.65000000002,1.87343107959907,0.936715539799535
2,800,389923.76666666666,1.916074535253173,0.9580372676265865
2,900,469889.8833333333,1.8860190399928098,0.9430095199964049
2,1000,644829.7,1.9030008491647743,0.9515004245823871
3,100,739.2666666666665,2.8896654342140864,0.9632218114046954
3,200,6292.177777777778,2.222632686792773,0.7408775622642576
3,300,17424.92222222222,1.9712378757628761,0.6570792919209587
3,400,38819.86666666667,2.1566955407712203,0.7188985135904068
3,500,65329.43333333334,2.3614108597298915,0.7871369532432971
3,600,110634.37777777777,2.5000176758399593,0.8333392252799864
3,700,161302.73333333337,2.623068590282206,0.8743561967607354
3,800,267388.8666666667,2.7941440094863084,0.9313813364954361
3,900,322511.0888888889,2.7478784364279223,0.9159594788093074
3,1000,444353.89999999997,2.7615633995035638,0.9205211331678546
4,100,553.6333333333334,3.858570654464446,0.9646426636161115
4,200,4909.966666666667,2.8483289092254527,0.7120822273063632
4,300,14365.3,2.3910859269675306,0.5977714817418827
4,400,30132.341666666667,2.778497411834073,0.6946243529585182
4,500,50450.61666666666,3.0578344433847358,0.7644586108461839
4,600,89784.65833333334,3.080569722425667,0.7701424306064167
4,700,134902.475,3.136400079637778,0.7841000199094444
4,800,206435.075,3.619166946314719,0.9047917365786797
4,900,257746.6,3.438343189266771,0.8595857973166927
4,1000,346345.14166666666,3.543030691181679,0.8857576727954197
5,100,444.54666666666674,4.805419753456704,0.9610839506913408
5,200,4085.66,3.4229965293245157,0.6845993058649031
5,300,12131.66,2.831324539812908,0.5662649079625817
5,400,25217.366666666665,3.3200387034860896,0.6640077406972179
5,500,40912.7,3.770702821699212,0.7541405643398423
5,600,72419.04666666666,3.819270105461207,0.7638540210922413
5,700,105288.82666666666,4.0185473305049655,0.8037094661009931
5,800,172890.83333333334,4.3213569256129825,0.8642713851225965
5,900,208582.06666666665,4.248789365400861,0.8497578730801723
5,1000,288099.1533333333,4.259337288807952,0.8518674577615905
6,100,399.0888888888889,5.352775767024889,0.8921292945041482
6,200,3470.2944444444443,4.029975042143398,0.6716625070238997
6,300,10716.71111111111,3.2051500045619306,0.5341916674269884
6,400,22029.894444444446,3.8004100993069767,0.6334016832178294
6,500,36146.01666666667,4.2679566812571785,0.7113261135428631
6,600,65222.88888888888,4.240656994988127,0.7067761658313545
6,700,92856.25555555553,4.556592668979523,0.7594321114965871
6,800,146911.81666666668,5.085520123239462,0.847586687206577
6,900,178804.86111111112,4.956360029361618,0.826060004893603
6,1000,245481.54444444444,4.99879316566862,0.8331321942781034
7,100,350.0,6.103523809523809,0.8719319727891156
7,200,3174.128571428572,4.4059966965061275,0.6294280995008753
7,300,8926.666666666666,3.8478715459297983,0.5496959351328283
7,400,21248.528571428575,3.940161458799051,0.5628802083998644
7,500,34538.30952380953,4.466623742166221,0.6380891060237459
7,600,57651.538095238095,4.797580587409265,0.6853686553441808
7,700,85913.42857142857,4.9248195581155345,0.7035456511593621
7,800,128244.41904761906,5.82577398336985,0.8322534261956929
7,900,158229.59523809524,5.6008565612086,0.8001223658869429
7,1000,210047.5476190476,5.842065192268826,0.8345807417526894
8,100,310.50416666666666,6.879886206572643,0.8599857758215804
8,200,2836.520833333333,4.930406234163038,0.6163007792703797
8,300,8180.575,4.198808355973347,0.5248510444966684
8,400,18224.879166666666,4.593864934175375,0.5742331167719219
8,500,28060.475000000002,5.497755591569042,0.6872194489461303
8,600,50895.65416666666,5.4344109438944415,0.6793013679868052
8,700,76959.49166666667,5.497803119151753,0.6872253898939691
8,800,111639.90833333334,6.692257376002563,0.8365321720003204
8,900,139211.2916666667,6.366015687783946,0.7957519609729933
8,1000,188363.46666666667,6.514593771191299,0.8143242213989124
9,100,278.79259259259265,7.66244652868188,0.8513829476313199
9,200,2489.17037037037,5.6184181550896035,0.6242686838988448
9,300,6977.300000000001,4.922916696525398,0.5469907440583776
9,400,16404.15185185185,5.103746544743303,0.5670829494159225
9,500,25880.792592592592,5.960777004081677,0.6623085560090752
9,600,45980.92222222222,6.015275175719013,0.6683639084132236
9,700,69321.41481481482,6.103570368025871,0.6781744853362078
9,800,107645.3037037037,6.940600047508567,0.7711777830565074
9,900,125869.75185185185,7.040780279838363,0.7823089199820403
